execCount post1_u_raw post1_v_raw post2_u_raw post2_v_raw center_u_raw center_v_raw post1_u_filtered post1_v_filtered post2_u_filtered post2_v_filtered center_u_filtered center_v_filtered 
193 1986 1037 1996 -875 1991.0 1037.0 1963.0 1028.0 nan nan nan nan 
194 1978 1034 1990 -872 1984.0 1034.0 1964.875 1028.75 1987.0 -869.833333333 1975.9375 79.4583333333 
195 1946 1028 1989 -869 1967.5 1028.0 1962.77777778 1028.66666667 1987.28571429 -869.714285714 1975.03174603 79.4761904762 
196 1945 1020 1991 -870 1968.0 1020.0 1961.0 1027.8 1987.75 -869.75 1974.375 79.025 
197 1953 1020 1997 -876 1975.0 1020.0 1960.27272727 1027.09090909 1988.77777778 -870.444444444 1974.52525253 78.3232323232 
198 1959 1021 2005 -882 1982.0 1021.0 1960.16666667 1026.58333333 1990.4 -871.6 1975.28333333 77.4916666667 
199 1945 1017 1991 -870 1968.0 1017.0 1959.0 1025.84615385 1990.45454545 -871.454545455 1974.72727273 77.1958041958 
200 1961 1025 1991 -873 1976.0 1025.0 1959.14285714 1025.78571429 1990.5 -871.583333333 1974.82142857 77.1011904762 
201 1945 1017 1991 -873 1968.0 1017.0 1958.2 1025.2 1990.53846154 -871.692307692 1974.36923077 76.7538461538 
202 1959 1021 2006 -877 1982.5 1021.0 1958.25 1024.9375 1991.64285714 -872.071428571 1974.94642857 76.4330357143 
203 1961 1025 1991 -870 1976.0 1025.0 1958.41176471 1024.94117647 1991.6 -871.933333333 1975.00588235 76.5039215686 
204 1961 1021 1991 -876 1976.0 1021.0 1958.55555556 1024.72222222 1991.5625 -872.1875 1975.05902778 76.2673611111 
205 1961 1021 1991 -870 1976.0 1021.0 1958.68421053 1024.52631579 1991.52941176 -872.058823529 1975.10681115 76.23374613 
206 1959 1021 1960 -857 1959.5 1021.0 1958.7 1024.35 1989.77777778 -871.222222222 1974.23888889 76.5638888889 
207 1977 1029 1991 -870 1984.0 1029.0 1959.57142857 1024.57142857 1989.84210526 -871.157894737 1974.70676692 76.7067669173 
208 1945 1017 1991 -870 1968.0 1017.0 1958.90909091 1024.22727273 1989.9 -871.1 1974.40454545 76.5636363636 
209 1985 1037 1997 -879 1991.0 1037.0 1960.04347826 1024.7826087 1990.23809524 -871.476190476 1975.14078675 76.6532091097 
210 1969 1029 1969 -864 1969.0 1029.0 1960.41666667 1024.95833333 1989.27272727 -871.136363636 1974.84469697 76.9109848485 
211 1962 1022 1976 -863 1969.0 1022.0 1960.48 1024.84 1988.69565217 -870.782608696 1974.58782609 77.0286956522 
212 1938 1013 1952 -857 1945.0 1013.0 1959.61538462 1024.38461538 1987.16666667 -870.208333333 1973.39102564 77.0881410256 
