u v u_raw v_raw uestimate vestimate distance angle 
1106.58167838 -249.968265312 1132 -253 1464.19696997 -307.859686862 1134.46337296 -12.7290349703 
1110.6972715 -249.968265312 1076 -232 1167.59074455 -249.968265312 1138.47817835 -12.6833971602 
1106.04363813 -249.968265312 1073 -233 1029.77254619 -249.968265312 1133.93856231 -12.7350251834 
1119.54999438 -249.968265312 1152 -263 1343.738068 -249.968265312 1147.11652572 -12.5863121145 
1139.59997345 -254.623802149 1148 -263 1331.92298021 -299.280549138 1167.6991822 -12.5948775958 
1139.59997345 -254.623802149 1084 -236 1139.59997345 -254.623802149 1167.6991822 -12.5948775958 
1132.86420526 -251.33182153 1088 -238 1037.98107225 -204.959466397 1160.40897621 -12.5087672427 
1132.86420526 -249.144262767 1165 -270 1132.86420526 -221.776238668 1159.93714106 -12.4032763601 
1132.9090339 -254.084534226 1136 -265 1133.55330802 -325.085768941 1161.05203571 -12.6409050391 
1104.10032638 -248.533481505 1080 -239 698.262291617 -170.333918892 1131.72718539 -12.6858614683 
1113.25959322 -252.234800274 1147 -263 1246.39682953 -306.036415657 1141.47681377 -12.76614949 
1115.64418364 -254.940936799 1089 -236 1151.62021732 -295.768098596 1144.40238804 -12.8719048276 
1145.59936914 -263.232498357 1166 -262 1586.82150352 -385.36228748 1175.45279053 -12.940634232 
1150.92907251 -262.00865778 1189 -257 1238.39540825 -241.924078345 1180.375477 -12.8248024715 
1151.77537616 -252.675936907 1194 -244 1163.67168549 -121.487875828 1179.16565682 -12.373504825 
1147.51891215 -250.57656218 1133 -214 1076.30831338 -215.454044772 1174.55875428 -12.3179670981 
1149.26800348 -252.480252854 1157 -209 1166.33039921 -271.050765976 1176.67464573 -12.3903599153 
1147.48073909 -244.270099876 1192 -207 1120.67256937 -121.121462728 1173.19219579 -12.0174619224 
1168.36511114 -235.21798379 1264 -222 1504.90808503 -89.3468960827 1191.8072549 -11.3827637189 
1169.71515548 -221.483361391 1179 -189 1192.38807305 9.17866342214 1190.49923324 -10.7219139654 
1172.73747382 -219.359146995 1261 -207 1213.50099029 -190.708806791 1193.07653479 -10.5946798311 
1179.53696528 -214.951343526 1280 -202 1289.10012612 -143.92649071 1198.96269023 -10.3278884104 
1213.23674517 -209.313088919 1329 -204 1542.37744278 -154.245101508 1231.16017196 -9.78856803831 
1230.07588212 -209.313088919 1243 -177 1448.23521114 -209.313088919 1247.75744637 -9.65710777396 
1236.06980252 -207.213900436 1297 -189 1328.71984501 -174.766038413 1253.31805909 -9.5165363514 
1243.04222508 -201.004573833 1219 -159 1356.5153654 -99.9504878383 1259.18895009 -9.18543190041 
1267.41780543 -196.654821888 1303 -161 1588.86216867 -139.294003222 1282.58372534 -8.81978545225 
1256.98068228 -186.132077543 1233 -131 1082.00379579 -9.71976384674 1270.68705271 -8.42307589691 
1269.88885055 -175.06082597 1343 -144 1477.30095561 2.83518122701 1281.89858629 -7.84905135287 
1275.25701053 -165.907726684 1264 -115 1327.20146515 -77.3386914672 1286.00381674 -7.41240457562 
1295.00172817 -159.908237157 1406 -124 1618.03410193 -61.7539166824 1304.83720068 -7.03931266964 
1297.07554511 -148.648574999 1295 -101 1331.95232339 40.7127583742 1305.56553592 -6.53773828741 
1282.85773241 -138.82523866 1292 -88 1046.14846058 24.7213518198 1290.34739837 -6.17626356573 
1299.13954786 -133.635039092 1376 -95 1476.18998704 -77.1961784815 1305.99459742 -5.87303226817 
1300.69083717 -118.487541965 1306 -71 1326.34841693 132.044781808 1306.07654887 -5.20504172698 
1308.06020917 -109.448552268 1396 -79 1434.29089385 45.3811752771 1312.63113493 -4.78293491981 
1324.22525759 -100.551544324 1330 -57 1476.78961769 -16.5823356968 1328.03732851 -4.34227090432 
1330.22298747 -91.3090617619 1398 -65 1422.17669932 50.391314241 1333.35311945 -3.92673291084 
1349.27703401 -83.4002839981 1426 -54 1661.08269548 46.0211318566 1351.85210799 -3.53701463756 
1380.81547278 -76.1554517155 1381 -5 1850.89766293 31.8291778459 1382.9139607 -3.15680837167 
1373.28091512 -72.6882652208 1363 28 1257.47154882 -19.3961292935 1375.20327797 -3.02985933888 
1373.67668023 -59.4875065799 1376 32 1380.41751393 165.353229125 1374.96413962 -2.47966269373 
