u v u_raw v_raw uestimate vestimate distance angle 
1199.3380796 -6.374836389 1197 -10 1204.29977969 -11.8540895542 1199.35502155 -0.304541135405 
1199.57559197 -6.37514482991 1201 -6 1202.98743286 -6.37957555226 1199.5925322 -0.304495570074 
1199.85001576 -6.33246243985 1205 -6 1203.82905554 -5.7135841622 1199.8667261 -0.302387797054 
1199.49296138 -6.33142840311 1205 -6 1194.42495922 -6.31675136611 1199.50967123 -0.302428416378 
1201.26071523 -6.55476213303 1215 -8 1223.61431378 -9.37886150987 1201.27859835 -0.312635278847 
1201.2543072 -6.49994742283 1197 -5 1201.16064808 -5.69878108927 1201.27189257 -0.310022546917 
1203.50107917 -6.49947036399 1202 -7 1232.89315284 -6.49322952206 1203.51862914 -0.309421077517 
1200.64608698 -6.49851046914 1196 -7 1159.35054193 -6.48462623465 1200.66367348 -0.310111023721 
1201.26384258 -6.4990960857 1202 -6 1210.43771286 -6.50779268075 1201.28142321 -0.30997948167 
1201.01244363 -6.49814547148 1199 -6 1197.33056169 -6.48422318084 1201.03002279 -0.309999017195 
1202.01499922 -6.24633474137 1200 -6 1215.78177702 -2.7885490746 1202.03122882 -0.297737879224 
1200.7879357 -6.28149153264 1194 -9 1183.8509124 -6.76675686659 1200.80436527 -0.299719592717 
1200.17205262 -6.42160244488 1194 -7 1191.08920485 -8.4879136405 1200.18923211 -0.306562051622 
1199.87209431 -6.42266072168 1203 -6 1195.63007464 -6.43762690441 1199.88928375 -0.306689221126 
1196.6791468 -6.49614223497 1189 -7 1166.52091762 -7.19019445902 1196.69677874 -0.311025623023 
1198.76909168 -6.55285073391 1205 -7 1227.69170017 -7.33763588609 1198.78700152 -0.313193720074 
1198.30151488 -6.4961677042 1204 -8 1191.72690473 -5.69914607752 1198.31912309 -0.310605754644 
1201.50571669 -6.62369126763 1201 -9 1253.71318811 -8.70148885752 1201.52397418 -0.315858430503 
1198.10485024 -7.2518932136 1196 -10 1145.30551745 -17.0048911956 1198.12679718 -0.346795858865 
1198.82948624 -7.82177837647 1205 -12 1209.41758378 -16.1487173311 1198.85500261 -0.373821744758 
1196.93411635 -8.24985388237 1194 -9 1169.40344216 -14.4677469655 1196.96254702 -0.394904212086 
1200.08462995 -7.81523419972 1214 -6 1245.16015373 -1.59697509257 1200.110077 -0.373118357272 
1202.06840251 -7.85019047973 1201 -7 1225.7354185 -8.26722963725 1202.09403534 -0.374168714464 
1201.89235925 -8.17849138084 1210 -15 1199.29003794 -13.0315283711 1201.92018493 -0.389873355111 
1202.90711372 -8.14288837528 1201 -2 1217.72015457 -7.62316779766 1202.93467439 -0.387848741923 
1202.49515796 -8.92938927879 1203 -10 1196.56239053 -20.2561565653 1202.52831107 -0.425454449859 
1203.50818355 -9.32650281197 1213 -11 1217.9343448 -14.981664869 1203.54432055 -0.444000763341 
1204.08087106 -9.76501122328 1196 -12 1212.56101677 -16.2582822961 1204.12046718 -0.464654557491 
1202.62153173 -10.5075388886 1197 -12 1178.52128114 -22.7700075578 1202.66743406 -0.500591662998 
1202.2287906 -9.84334018687 1214 -17 1196.76254776 -0.598901319677 1202.26908647 -0.469103095433 
1203.22317238 -11.3346162187 1201 -17 1219.46518291 -35.6927867862 1203.27655843 -0.539722370354 
1200.43292531 -13.4938239059 1195 -20 1173.25387346 -34.5260896368 1200.50876359 -0.644023153644 
1200.02293615 -13.4938239059 1199 -23 1194.22334839 -13.4938239059 1200.09880033 -0.644243166325 
1198.65250598 -14.3263400603 1188 -22 1179.03370386 -26.2444735804 1198.7381174 -0.684768717071 
1198.41023338 -15.5872681387 1199 -22 1194.90004324 -33.8563471497 1198.51159794 -0.745182490121 
1197.82397795 -20.2453973567 1198 -26 1190.78428809 -76.1796937503 1197.9950577 -0.968310374581 
1197.82397795 -20.2453973567 1189 -28 1197.82397795 -20.2453973567 1197.9950577 -0.968310374581 
1197.09300833 -21.0618177032 1191 -31 1186.75377113 -32.6097171671 1197.27827624 -1.00796576348 
1197.92591669 -23.4247133045 1203 -38 1209.90603461 -57.4113671537 1198.15492282 -1.12024137966 
1195.22465966 -24.529622971 1183 -39 1155.3923816 -40.822433525 1195.47634416 -1.17571754068 
1193.47819011 -25.3189151279 1188 -41 1168.20111481 -36.7425310343 1193.74672261 -1.2153128771 
1193.09255163 -30.7626553121 1192 -42 1188.46247263 -96.1216594046 1193.48907733 -1.47698506392 
1189.33972184 -34.9386505682 1188 -49 1134.89447759 -95.5230879974 1189.85279898 -1.68266613198 
1189.61286722 -36.4606848118 1181 -50 1193.54324553 -58.3617342142 1190.1714815 -1.75552034881 
1190.21314504 -40.0557945463 1193 -55 1199.05954167 -93.0375397991 1190.88697923 -1.92752206745 
1190.33063285 -43.362469809 1191 -58 1192.04353384 -91.5717889436 1191.12019515 -2.08630130863 
1190.45714221 -45.1275296752 1190 -60 1192.15603851 -68.8305482631 1191.31217628 -2.17091355764 
1189.45773215 -49.434497802 1184 -62 1177.40091061 -101.393496818 1190.48455099 -2.3798735542 
1188.02210999 -55.6223778828 1187 -70 1167.69815644 -143.2235521 1189.32349793 -2.68059146175 
1189.88145942 -55.6223778828 1198 -78 1216.6809044 -55.6223778828 1191.180816 -2.67640877337 
1190.15798049 -57.6475334562 1206 -88 1194.21118693 -87.3319749547 1191.55329577 -2.77306121659 
1191.10947159 -63.6667755598 1206 -96 1205.30389375 -153.462322829 1192.8098053 -3.05964272033 
1191.74945886 -66.6775417388 1204 -98 1202.13670251 -115.543453862 1193.61328213 -3.20231980806 
1192.94316768 -71.0219070157 1193 -95 1212.10734285 -140.767707873 1195.05544331 -3.40708435829 
1191.73292773 -85.0441992252 1180 -95 1179.80636787 -223.229777758 1194.76352759 -4.08181009643 
1190.33198244 -88.4844121969 1178 -100 1167.70018545 -144.05988825 1193.61623632 -4.25131478931 
1190.41788991 -94.0470239908 1178 -101 1191.83932686 -186.086762884 1194.12712696 -4.51717717462 
1187.71110372 -96.3381263977 1181 -107 1142.80758814 -134.34576551 1191.61180781 -4.63724749916 
1184.52436384 -96.3381263977 1173 -114 1132.08485781 -96.3381263977 1188.43552754 -4.64966851237 
1181.91932224 -98.9305239854 1173 -121 1155.97421682 -124.749700492 1186.05250005 -4.7846912469 
1181.58984448 -100.857119307 1180 -128 1176.51625464 -130.524536988 1185.88646973 -4.87877763465 
1177.55732159 -104.055859568 1169 -127 1114.12011926 -154.376499694 1182.14587405 -5.0498737835 
1178.24653376 -108.633540409 1183 -133 1188.01900018 -173.541320795 1183.24390572 -5.26773962115 
1177.23043242 -119.481679954 1175 -129 1161.20504269 -290.572551033 1183.27822715 -5.79532589996 
